stasjonsnr,Stasjonsnavn,Måleparameter,Versjon,Målested,Stasjontype,Status (i drift/nedlagt),Målestart (dato),Data kontrollert fra (dato),Data kontrollert til (dato),Evt. nedlagt (dato),Normal årsavrenning (l/s km2),Totalt feltareal (km2),"Bratthet (1085-gradient, m/km)",Myrprosent,Effektiv sjøprosent,Jordbruksprosent,Skogprosent,Innsjøprosent,Snaufjellprosent,Urbantareal prosent,Breprosent,Elvegradient (m/km),Elvelengde (km),Elvenavnhierarki,Elvetetthet (m/km),Vassdragsomr. nr.,Vassdragsomr. navn,Reguleringsgrad areal,"Reguleringsgrad mag,",Måleparameter kode,Høyde 10 persentil (m),Høyde 90 persentil (m),Medianhøyde (m),Høyeste punkt (m),Laveste punkt (m),Høyde over havet (m),ObjektID
114.1.0,Myra,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,32443.583333333332,1988-10-27T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,16.46,26.34,13.48,0.01,1.78,39.4,0.56000000000000005,42.01,0,0,38,7.95,Storelva,1647.25,114,Tustna kommune og Ertvågøy,0,0,1001,50,645,232,895,29,29,13582
62.10.0,Myrkdalsvatn,Vannføring,2,Ikke angitt,"Privat, ikke pålagt",I drift,Ikke angitt,1970-11-11T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,157.75,38.39,2.4700000000000002,1.1399999999999999,1.74,18.88,4.1900000000000004,69.86,0,0,36.159999999999997,28.09,Vossovassdraget,2406.7399999999998,062,Vossovassdraget/Bolstadfjorden,0,0,1001,520,1279,1024,1431,227,226,10266
2.11.0,Narsjø,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,26227.583333333332,1971-10-21T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,118.96,14.33,15.17,1.63,0.43,22.33,3.49,45.84,0,0,15.11,21.78,Nøra/Glommavassdraget,1410.89,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,783,1120,967,1592,738,737,149
111.10.0,Nauståa,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,28571.583333333332,1978-03-22T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,24.79,52.46,0.91,0.32,0,5.32,2.99,85.41,0,0,81.05,9.33,Toåa,1456.72,111,Kyst Tingvollfjorden-Surnadalsfjorden,0,0,1001,623,1236,969,1374,213,220,13460
2.168.0,Nedre Bjørnhølen,Vannføring,1,Innsjø,Konsesjonspålagt stasjon,I drift,15554.583333333334,1942-08-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,469.48,2.67,4.7699999999999996,11.56,0,0.34,18.82,71.08,0,1.28,6.75,61.82,Vinstra/Vorma-Lågen/Glommavassdraget,1658.99,002,Glommavassdraget/Hvaler og Singlefjorden,0.99,0.76,1001,1067,1770,1392,2330,1019,1023,605
2.13.0,Nedre Sjodalsvatn,Vannføring,1,Ikke angitt,Forvaltningsstasjon,I drift,29752.583333333332,1981-06-15T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,480.7,10.99,2.09,4.2300000000000004,0.03,6.31,9.74,72.180000000000007,0,6.89,11.17,50.23,Sjoa/Vorma-Lågen/Glommavassdraget,1228.55,002,Glommavassdraget/Hvaler og Singlefjorden,0,0,1001,1069,2005,1542,2363,940,940,158
244.2.0,Neiden,Vannføring,1,Ikke angitt,Konsesjonspålagt stasjon,I drift,28734.583333333332,1978-09-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,2947.19,1.89,18.8,0.63,0.02,57.27,12.97,8.6300000000000008,0.1,0,2.63,137.51,Neidenvassdraget,1047.49,244,Neidenvassdraget/Munkfjorden,0.02,0.04,1001,137,319,231,444,26,25,17881
151.15.0,Nervoll,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,25112.583333333332,1968-10-01T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,653.36,8.34,7.59,0.16,0.68,25.25,2.99,53.62,0,1.4,9.43,70.17,Vefsna,1903.5,151,Vefsna/Vefsnfjorden sør,0,0,1001,612,1136,864,1691,344,345,15086
79.3.0,Nessedalselv,Vannføring,1,Elv - naturlig profil,Forvaltningsstasjon,I drift,30565.583333333332,1983-09-06T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,30,99.02,4.08,1.33,0.44,31.82,4.17,58.65,0,0,112.21,6.77,Nesselvi,1722.7,079,Høyangervassdraget/kyst Dragsvik-Kyrkjebø,0,0,1001,452,1182,859,1351,281,290,12040
76.5.0,Nigardsbrevatn,Vannføring,2,Ikke angitt,Konsesjonspålagt stasjon,I drift,Ikke angitt,1998-06-05T14:00:00Z,2023-12-31T14:00:00Z,Ikke angitt,Ikke angitt,65.290000000000006,109.62,0,0.71,0,2.14,0.83,21.02,0,72.39,199.71,5.24,Breelvi/Jostedøla,332.81,076,Jostedøla/Lusterfjorden vest,0,0,1001,840,1774,1562,1946,285,285,11673
