Stasjonsnr;Stasjonsnavn;Måleparameter;Versjon;Målested;Stasjontype;Status (i drift/nedlagt);Målestart (dato);Data kontrollert fra (dato);Data kontrollert til (dato);Evt. nedlagt (dato);Normal årsavrenning (l/s km2);Totalt feltareal (km2);Bratthet (1085-gradient, m/km);Myrprosent;Effektiv sjøprosent;Jordbruksprosent;Skogprosent;Innsjøprosent;Snaufjellprosent;Urbantareal prosent;Breprosent;Elvegradient (m/km);Elvelengde (km);Elvenavnhierarki;Elvetetthet (m/km);Vassdragsomr. nr.;Vassdragsomr. navn;Reguleringsgrad areal;Reguleringsgrad mag,;Måleparameter kode;Høyde 10 persentil (m);Høyde 90 persentil (m);Medianhøyde (m);Høyeste punkt (m);Laveste punkt (m);Høyde over havet (m);ObjektID
2.290.0;Brustuen;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;14.10.1966;14.10.1966;31.12.2023;Ikke angitt;Ikke angitt;254;21,82;1,25;0,56;0,78;9,36;4,77;72,21;0;8,27;26,8;32,2;Bøvri/Otta/Vorma-Lågen/Glommavassdraget;1475,96;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;1009;1853;1461;2219;661;685;918
76.15.0;Bruvollelvi;Vannføring;1;Elv - kunstig profil;Konsesjonspålagt stasjon;I drift;17.09.1993;01.01.1995;31.12.2023;Ikke angitt;Ikke angitt;7,69;49,65;0;7;0;0;14,28;85,78;0;0;51,28;4,7;Bruvollelvi/Jostedøla;829,53;076;Jostedøla/Lusterfjorden vest;0;0;1001;1359;1531;1413;1608;1242;1240;11718
12.150.0;Buvatn;Vannføring;1;Innsjø;Konsesjonspålagt stasjon;I drift;10.08.1962;09.08.1962;31.12.2023;Ikke angitt;Ikke angitt;25,05;21,96;14,86;4,7;0,11;71,42;12,58;0,02;0;0;18,65;10,08;Rukkedøla/Hallingdalsvassdraget/Drammensvassdraget;1798,75;012;Drammensvassdraget/Drammensfjorden vest;0;0;1001;863;1038;956;1086;842;838;4275
83.6.0;Byttevatn;Vannføring;1;Innsjø;Forvaltningsstasjon;I drift;01.01.1965;01.01.1965;31.12.2023;Ikke angitt;Ikke angitt;104,54;37,99;0,73;1,68;0;6,72;10,91;80,53;0;0,67;44,89;19,34;Eldalselva/Gaularvassdraget;1890,71;083;Gaularvassdraget/Dalsfjorden;0;0;1001;730;1294;1061;1503;484;484;12156
234.14.0;Cærrogæsjokka;Vannføring;1;Ikke angitt;Forvaltningsstasjon;I drift;30.01.1978;30.01.1978;31.12.2023;Ikke angitt;Ikke angitt;45,9;11,62;9,05;0,18;0;72,23;2,81;14,69;0;0;10,46;10,9;Cærrugæsjåkka/Iesjåkka/Karasjåkka/Tana;1119,82;234;Tana/Tanafjorden sør;0;0;1001;353;437;391;490;291;295;17767
173.8.0;Coarveij;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;06.06.1972;06.06.1972;31.12.2023;Ikke angitt;Ikke angitt;62,83;13,69;0,07;9,54;0;0;14,22;83,82;0;1,6;23,19;14,31;Coarvvejokka/Skjomavassdraget;1274,29;173;Skjomavassdraget/Ofotfjorden sør;0;0;1001;941;1365;1101;1581;917;918;16588
109.29.0;Dalavatn;Vannføring;1;Innsjø;Privat, ikke pålagt;I drift;01.12.1974;01.10.1974;31.12.2023;Ikke angitt;Ikke angitt;85,45;24,01;2,18;0,37;0;12,03;4,84;73,6;0;0,5;34,49;15,83;Grøa/Driva;1273,07;109;Driva/tTngvollfjorden og Sunndalsfjorden;0;0;1001;763;1527;1210;1805;441;440;13353
91.2.0;Dalsbøvatn;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;04.11.1934;04.11.1934;31.12.2023;Ikke angitt;Ikke angitt;25,72;7,12;3,52;4,78;1,35;5,55;10,27;64,55;0;0;20,15;8,24;Storelva;1305,04;091;Sildegapet;0;0;1001;67;504;295;532;47;47;12775
205.6.0;Didnojokka;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;01.09.1979;01.09.1979;31.12.2023;Ikke angitt;Ikke angitt;110,87;31,12;0,27;0,54;0;0,67;6,49;92,02;0;0;27,5;19,23;Did'nujåkka/Skibotnvassdraget;1099,55;205;Skibotnvassdraget/Lyngen: Skibotn-Kåfjorden;0;0;1001;774;1100;939;1173;520;521;17162
35.16.0;Djupadalsvatn;Vannføring;1;Innsjø;Konsesjonspålagt stasjon;I drift;05.10.1990;05.10.1990;31.12.2023;Ikke angitt;Ikke angitt;45,34;38,73;5,03;4,47;0,48;36,85;10,81;41,95;0;0;34,94;20,35;Vormo;2319,2;035;Ulla og Førreelva/Jøsenfjorden og Erfjorden;0;0;1001;413;910;648;1127;327;338;9050
2.303.0;Dombås;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;25.10.1967;25.10.1967;31.12.2023;Ikke angitt;Ikke angitt;493,62;17,13;3,59;0,09;0,09;11,83;3,85;78,08;0;0,26;23,05;45,92;Jora/Vorma-Lågen/Glommavassdraget;-999;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;965;1751;1362;2213;567;570;958
109.9.0;Driva v/Risefoss;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;02.03.1935;06.07.1933;31.12.2023;Ikke angitt;Ikke angitt;745,99;15,87;1,27;0,03;0,21;7,58;2,17;84,3;0;0,29;19,78;54,69;Driva;1083,25;109;Driva/tTngvollfjorden og Sunndalsfjorden;0;0;1001;1070;1686;1400;2284;547;549;13303
109.21.0;Driva v/Svoni;Vannføring;1;Elv - kunstig profil;Forvaltningsstasjon;I drift;01.01.1970;01.01.1970;31.12.2023;Ikke angitt;Ikke angitt;135,96;33,27;2,92;0,03;0,02;0,92;1,23;87,35;0;0,68;32,54;19,76;Driva;1399,24;109;Driva/tTngvollfjorden og Sunndalsfjorden;0;0;1001;1076;1574;1287;2284;983;985;13331
12.178.0;Eggedal;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;11.11.1971;01.01.1972;31.12.2023;Ikke angitt;Ikke angitt;310,59;22,18;6,91;0,59;1,51;62,43;3,4;20,6;0,03;0;25;39,8;Simoa/Drammensvassdraget;1829,32;012;Drammensvassdraget/Drammensfjorden vest;0;0;1001;429;1193;891;1465;161;170;4345
101.1.0;Engsetvatn;Vannføring;1;Ikke angitt;Forvaltningsstasjon;I drift;04.11.1923;04.11.1923;31.12.2023;Ikke angitt;Ikke angitt;39,91;10,61;1,58;11,04;6,12;61,54;11,25;11,47;0,04;0;12,78;11,82;Tennfjordelva;1115,61;101;Ålesund og omegn;0;0;1001;43;478;218;742;43;46;12980
2.415.0;Espedalsvatn;Vannføring;1;Innsjø;Konsesjonspålagt stasjon;I drift;01.01.1976;01.01.1976;31.12.2023;Ikke angitt;Ikke angitt;94,42;0;4,55;4,86;0,57;41,29;7,89;40,16;0;0;6,37;13,51;Espa/Vinstra/Vorma-Lågen/Glommavassdraget;1179,71;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;771;1263;1086;1457;722;720;1223
83.10.0;Espelandsvatn;Vannføring;1;Innsjø;Privat, ikke pålagt;I drift;19.08.1993;19.08.1993;31.12.2023;Ikke angitt;Ikke angitt;20,48;13,26;7,86;4,24;5,24;46,59;9,07;21,8;0;0;24,47;8,75;Åmotselva/Gaularvassdraget;1593,73;083;Gaularvassdraget/Dalsfjorden;0;0;1001;262;619;436;811;197;210;12169
12.70.0;Etna;Vannføring;1;Kum;Konsesjonspålagt stasjon;I drift;10.05.1919;10.05.1919;31.12.2023;Ikke angitt;Ikke angitt;568,53;11,54;17,84;0,3;1,44;49,28;4,66;12,02;0;0;12,29;61,34;Randselva/Drammensvassdraget;1244,38;012;Drammensvassdraget/Drammensfjorden vest;0;0;1001;797;1097;963;1681;397;400;4028
311.4.0;Femundsenden (Femunden);Vannføring;1;Innsjø;Forvaltningsstasjon;I drift;###############################################################################################################################################################################################################################################################;###############################################################################################################################################################################################################################################################;31.12.2023;Ikke angitt;Ikke angitt;1794,03;1,24;6,44;11,85;0,44;35,65;18,63;26,51;0;0;1,89;102,33;Trysilelva;869,69;311;Vanern-gøta elv's sidenedbørfelt klaraelven;0;0;1001;661;1035;818;1456;660;662;17993
97.1.0;Fetvatn (Fitjavatnet);Vannføring;1;Innsjø;Forvaltningsstasjon;I drift;09.08.1946;09.08.1946;31.12.2023;Ikke angitt;Ikke angitt;89,05;33,59;0,61;1,54;4,42;36,95;2,29;48,4;0,09;3,2;43,87;17,78;Velledalselva;1332,49;097;Storfjorden sør, Hjørundfjorden og Sykkylvsfjorden;0;0;1001;115;1207;646;1586;2;5;12868
12.193.0;Fiskum;Vannføring;1;Elv - kunstig profil;Forvaltningsstasjon;I drift;09.07.1976;09.07.1976;31.12.2023;Ikke angitt;Ikke angitt;51,54;13,36;2,97;0,11;4,45;87,56;1,35;0;0,15;0;19,77;21,96;Fiskumelva/Vestfosselva/Drammensvassdraget;1405,72;012;Drammensvassdraget/Drammensfjorden vest;0;0;1001;183;503;310;651;81;90;4382
63.12.0;Fjellanger;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;08.12.1994;08.12.1994;31.12.2023;Ikke angitt;Ikke angitt;12,83;73,49;0,48;0,92;0,74;8,34;5,13;83,29;0;0;68,33;8,78;Fagerdalselvi/Eksingedalsvassdraget;2404,38;063;Eksingedalsvassdraget/Eidsfjorden;0;0;1001;734;1113;945;1205;391;400;10401
157.4.0;Flostrand;Vannføring;1;Innsjø;Konsesjonspålagt stasjon;I drift;21.06.1963;21.06.1963;31.12.2023;Ikke angitt;Ikke angitt;33,16;24,48;0,13;6,18;0,14;12,37;6,5;66,29;0;0;38,75;9,86;Flostrandvatn-vassdraget;1741,86;157;Kyst Utskarpen-Nesna-Tonnes;0;0;1001;57;807;488;1115;0;0;15717
2.592.0;Fokstua;Vannføring;1;Elv - kunstig profil;Forvaltningsstasjon;I drift;23.06.1988;23.06.1988;31.12.2023;Ikke angitt;Ikke angitt;26,54;53,06;0,96;0;0;0,73;0,01;98,01;0;0;52,29;11,68;Folla/Glommavassdraget;1338,88;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;1223;1598;1451;1712;988;990;1466
74.18.0;Fornabu;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;19.11.1982;19.11.1982;31.12.2023;Ikke angitt;Ikke angitt;53,13;61,87;0,87;0,15;0,46;27,35;2,6;61,06;0;0;63,61;13,77;Indre offerdalselvi;1619,62;074;Årdalsvassdraget/Årdalsfjorden;0;0;1001;714;1309;1094;1452;397;400;11196
156.15.0;Forsbakk;Vannføring;1;Kum;Konsesjonspålagt stasjon;I drift;20.06.1963;20.06.1963;31.12.2023;Ikke angitt;Ikke angitt;56,3;38,97;2,84;0,03;0,07;32,99;2,24;53,28;0;0,19;55,81;13,21;Straumdalselva;2958,88;156;Ranavassdraget/Ranafjorden nord;0;0;1001;243;895;478;1185;39;55;15441
142.1.0;Første Aunvatn;Vannføring;1;Se kommentar;Konsesjonspålagt stasjon;I drift;29.09.1982;29.09.1982;31.12.2023;Ikke angitt;Ikke angitt;87,29;49,21;0,47;1,66;0;10,62;5,95;72,96;0;0;41,02;20,4;Nordfolda/Kongsmoelva;1394,54;142;Indre Folda;0;0;1001;262;845;656;921;8;19;14961
2.457.0;Fossum bru;Vannføring;1;Elv - naturlig profil;Privat, ikke pålagt;I drift;01.01.1985;01.01.1985;31.12.2023;Ikke angitt;Ikke angitt;1137,78;8,05;4,98;0,16;0,62;36,6;1,08;52,72;0;0;11,21;91,14;Atna/Glommavassdraget;1231,56;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;758;1427;1043;2170;421;422;1359
73.21.0;Frostdalen;Vannføring;1;Elv - kunstig profil;Konsesjonspålagt stasjon;I drift;13.07.1967;13.07.1967;31.12.2023;Ikke angitt;Ikke angitt;25,74;42,43;2,24;2,32;0;2,19;7,6;87,96;0;0;48,27;9,59;Lærdalsvassdraget;1520,94;073;Lærdalsvassdraget/Lærdalsfjorden;0;0;1001;1103;1470;1352;1615;984;950;10859
2.323.0;Fura;Vannføring;1;Elv - kunstig profil;Forvaltningsstasjon;I drift;09.10.1970;09.10.1970;31.12.2023;Ikke angitt;Ikke angitt;36,41;30,7;14,69;0;1,28;79,2;0,06;0;0;0;30,84;12,42;Fura/Svartelvvassdraget/Vorma-Lågen/Glommavassdraget;1660,36;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;439;703;599;760;346;350;1004
152.4.0;Fustvatn;Vannføring;1;Ikke angitt;Forvaltningsstasjon;I drift;01.03.1970;01.03.1970;31.12.2023;Ikke angitt;Ikke angitt;525,69;12,16;6,54;2,58;1,26;37,48;6,42;36,1;0;0,58;13,63;48,35;Fusta;2419,57;152;Fusta og Drevja/Vefsnfjorden nord;0;0;1001;91;860;470;1522;35;37;15201
185.1.0;Gåslandsvatn;Vannføring;1;Innsjø;Forvaltningsstasjon;I drift;01.09.1934;01.09.1934;31.12.2023;Ikke angitt;Ikke angitt;7,7;5,83;23,35;19,03;3,25;39;22,25;0,35;0;0;6,38;5,48;Ringstadelva;1976,94;185;Langøya;0;0;1001;27;80;49;185;15;16;16810
122.16.0;Gaua;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;02.10.1969;02.10.1969;31.12.2023;Ikke angitt;Ikke angitt;80,49;24,83;10,27;0,01;0,71;76,31;1,39;9,09;0;0;29,58;17,88;Gaua/Gaula;1421,31;122;Gaula/kyst Viggjaneset-Flakk;0;0;1001;340;661;473;968;81;90;13941
5.3.0;Gjersjøen ndf.;Vannføring;1;Elv - kunstig profil;Privat, ikke pålagt;I drift;27.09.1971;27.09.1971;31.12.2023;Ikke angitt;Ikke angitt;0,05;6,04;1,17;3,41;13,92;58,23;5,16;0;12,82;0;8,05;19,87;Gjersjøelva;1618,5;005;Nesodden og Bunnefjorden;0;0;1001;93;189;162;237;36;40;3325
18.10.0;Gjerstad;Vannføring;1;Kum;Forvaltningsstasjon;I drift;06.11.1980;06.11.1980;31.12.2023;Ikke angitt;Ikke angitt;235,89;12,79;4,89;0,16;1,39;81,58;3,68;3;0,02;0;18,89;30,87;Gjerstadvassdraget;1597,09;018;Vegårsvassdraget og Gjerstadvassdraget/kyst Kragerø-Tromøya;0;0;1001;172;514;365;656;37;43;7023
25.24.0;Gjuvvatn;Vannføring;1;Innsjø;Konsesjonspålagt stasjon;I drift;30.04.1971;30.04.1971;31.12.2023;Ikke angitt;Ikke angitt;96,98;13,05;0,89;7,07;0;0;17,05;82,06;0;0;28,83;15,12;Kvina;3625,42;025;Kvina/Fedafjorden;0;0;1001;1050;1368;1185;1428;950;950;8270
88.15.0;Grasdøla;Vannføring;1;Ikke angitt;Forvaltningsstasjon;I drift;01.09.1979;01.09.1979;31.12.2023;Ikke angitt;Ikke angitt;34,37;59,11;0;2,13;0;3,65;7,44;81,09;0;6,19;65,27;11,8;Grasdøla/Skjerdingsdøla/Strynevassdraget;1191,27;088;Strynvassdraget/indre Nordfjord;0;0;1001;931;1585;1297;1665;590;620;12565
19.79.0;Gravå;Vannføring;1;Elv - kunstig profil;Konsesjonspålagt stasjon;I drift;23.10.1970;23.10.1970;31.12.2023;Ikke angitt;Ikke angitt;6,3;104,2;6,48;0,03;4,36;75,04;0,37;12,73;0;0;101,58;5,72;Fyresdalsåna/Arendalsvassdraget;1890,45;019;Arendalsvassdraget/kyst Moland-Homborsund;0;0;1001;508;958;688;1062;362;375;7179
2.235.0;Grimsmoen;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;16.10.1997;16.10.1997;31.12.2023;Ikke angitt;Ikke angitt;626,57;6,42;5,25;0,1;3,16;32,22;1,27;47,34;0,12;0;12,82;71,04;Folla/Glommavassdraget;1208,92;002;Glommavassdraget/Hvaler og Singlefjorden;0;0;1001;846;1393;1099;1712;686;695;750
36.13.0;Grimsvatn;Vannføring;1;Innsjø;Konsesjonspålagt stasjon;I drift;01.10.1973;01.09.1973;31.12.2023;Ikke angitt;Ikke angitt;34,41;24,67;1,34;1,23;0;12,9;3,65;80,79;0;0;50,8;8,27;Lingvangelva;2916,16;036;Suldalsvassdraget/Sandsfjorden sør og Hylsfjorden;0;0;1001;697;1287;927;1538;564;564;9111
83.7.0;Grønengstølsvatn;Vannføring;1;Innsjø;Forvaltningsstasjon;I drift;21.05.1965;21.05.1965;31.12.2023;Ikke angitt;Ikke angitt;65,65;36,97;0,44;2,28;0;3,32;5,32;63,74;0;25,96;48,6;14,75;Gaularvassdraget;1518,32;083;Gaularvassdraget/Dalsfjorden;0;0;1001;792;1518;1217;1633;518;511;12161
139.13.0;Grongstadvatn;Vannføring;1;Innsjø;Forvaltningsstasjon;I drift;29.09.2003;29.09.2003;31.12.2023;Ikke angitt;Ikke angitt;471,61;128,9;10,54;2,49;2,99;48,59;8,44;24,33;0,03;0;137,65;2,86;Bjøra/Namsen;5133,17;139;Namsen/Namsfjorden øst;0;0;1001;108;596;317;812;11;14;14826
180.1.0;Grønlivatn;Vannføring;1;Elv - naturlig profil;Forvaltningsstasjon;I drift;28.10.1989;01.01.1990;31.12.2023;Ikke angitt;Ikke angitt;7,52;64,33;5,81;1,69;0,02;24,23;3,82;59,46;0;0;60,57;4,87;elv fra Farstadvatnet;1945,22;180;Vestvågøy kommune;0;0;1001;118;412;270;734;67;71;16801
16.66.0;Grosettjern;Vannføring;1;Elv - kunstig profil;Konsesjonspålagt stasjon;I drift;04.10.1949;04.10.1949;31.12.2023;Ikke angitt;Ikke angitt;6,55;27,96;18,56;3,07;0;66,81;7,62;2,35;0;0;29,87;3,48;Grosetåe/Skiensvassdraget;2400,88;016;Skiensvassdraget/Langesundsfjorden;0;0;1001;966;1069;1038;1115;937;937;6009
16.122.0;Grovåi;Vannføring;1;Elv - kunstig profil;Konsesjonspålagt stasjon;I drift;10.10.1972;10.10.1972;31.12.2023;Ikke angitt;Ikke angitt;42,16;24,51;13,73;0,39;0,59;59,1;3,85;20,13;0;0;20,16;19,1;Grovåi/Bøelva/Skiensvassdraget;3036,4;016;Skiensvassdraget/Langesundsfjorden;0;0;1001;805;1108;931;1205;716;700;6120
12.197.0;Grunke;Vannføring;1;Ikke angitt;Konsesjonspålagt stasjon;I drift;Ikke angitt;28.03.1977;31.12.2023;Ikke angitt;Ikke angitt;184,69;27,53;4,33;0,25;0,06;12,05;2,14;76,22;0;0,12;35,36;20,73;Grunka/Flya/Åbjøra/Drammensvassdraget;1281,11;012;Drammensvassdraget/Drammensfjorden vest;0;0;1001;1012;1788;1453;1901;871;869;4390
6.10.0;Gryta;Vannføring;1;Elv - kunstig profil;Forvaltningsstasjon;I drift;12.10.1967;12.10.1967;31.12.2023;Ikke angitt;Ikke angitt;7,03;42,27;1,69;0,41;0;94,37;2,75;0;0;0;43,03;4,86;Nordmarkvassdraget;2167,17;006;Nordmarkvassdraget/kyst Gjersjøelva-Bygdøy;0;0;1001;248;401;323;440;166;163;3434
19.78.0;Grytå;Vannføring;2;Ikke angitt;Konsesjonspålagt stasjon;I drift;Ikke angitt;01.01.1998;31.12.2023;Ikke angitt;Ikke angitt;19,28;19,88;3,79;5,65;0;51,27;14,5;28,39;0;0;34,49;9,19;Grytåi/Frostdøl/Arendalsvassdraget;1182,7;019;Arendalsvassdraget/kyst Moland-Homborsund;0;0;1001;679;915;821;1006;631;645;7172
109.35.0;Håkådalselv;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;07.11.1987;07.11.1987;31.12.2023;Ikke angitt;Ikke angitt;23,62;59,57;0,2;2,73;0;0;7,17;91,4;0;0;46,09;9,2;Litledalselva;1539,99;109;Driva/tTngvollfjorden og Sunndalsfjorden;0;0;1001;1081;1625;1352;1866;904;915;13365
15.49.0;Halledalsvatn;Vannføring;1;Elv - naturlig profil;Konsesjonspålagt stasjon;I drift;15.02.1962;15.02.1962;31.12.2023;Ikke angitt;Ikke angitt;59,19;24,97;5,62;3,84;0,02;60,58;6,25;19,32;0;0;21,6;11,16;Halldalsåi/Rambergåi/Numedalslågen;1404,77;015;Numedalslågen og Siljanvassdraget/kyst Sandefjord-Mølen;0;0;1001;892;1113;1043;1190;844;846;5545
212.49.0;Halsnes;Vannføring;1;Ikke angitt;Konsesjonspålagt stasjon;I drift;28.10.1966;28.10.1966;31.12.2023;Ikke angitt;Ikke angitt;145,05;23,43;1,45;0,91;0,2;14,47;3,74;73,27;0;0;32,32;24,75;Halselva;1379,25;212;Altavassdraget/Altafjorden;0;0;1001;273;887;589;1147;28;30;17439
